fuel,fuel1,fuel2,brake power ,heat power ,efficiency
butanol10,26.28,2.628,5.2,16.19846465,32.10180787
,25.935,2.5935,5.2,15.98581357,32.52884176
,25.935,2.5935,5.2,15.98581357,32.52884176
,,,,,
diesel,26.955,0,5.2,16.038225,32.42254052
,27.12,0,5.2,16.1364,32.22527949
,,,,,
cnsl,28.18,0,5.2,16.10787587,32.28234463
,27.756,0,5.2,15.86551464,32.77548896
,28.042,0,5.2,16.02899415,32.44121217
,,,,,
cnsome,27.43,0,5.2,15.91203328,32.67967021
,27.756,0,5.2,16.10114458,32.29584068
,,,,,
butanol 20,24.288,4.8576,5.2,16.05808892,32.38243371
,23.886,4.7772,5.2,15.79230534,32.9274282
,,,,,
butanol 30,22.4,6.72,5.2,15.81275285,32.88484964
,22.616,6.7848,5.2,15.96523297,32.57077432
,,,,,
butanol 40,21.522,8.6088,5.2,16.15655966,32.18506977
,,,,,
methanol 10,26.955,2.6955,5.2,16.1048937,32.2883224
,27.12,2.712,5.2,16.2034768,32.09187796
,,,,,
methanol 20,25.298,5.0596,5.2,15.76925532,32.97555842
,25.935,5.187,5.2,16.1663229,32.16563242
,25.935,5.187,5.2,16.1663229,32.16563242
,,,,,
methanol 30,24.288,7.2864,5.2,15.76793152,32.97832689
,24.983,7.4949,5.2,16.21913015,32.06090555
,,,,,
methanol 40,23.429,9.3716,5.2,15.81629313,32.87748879
,23.886,9.5544,5.2,16.12480164,32.24845872
,,,,,
coco 10,25.298,2.5298,5.2,15.89195947,32.72094929
,,,,,
coco 20,23.429,4.6858,5.2,16.04357083,32.41173711
,,,,,
coco 30,21.522,6.4566,5.2,15.95550078,32.59064114
,,,,,
coco 40,20.11,8.044,5.2,16.04660155,32.4056155
,,,,,
cot 10,25.298,2.5298,5.2,16.01025756,32.47917768
,24.983,2.4983,5.2,15.8109046,32.88869379
,,,,,
cot 20,,,,,
,,,,,
cot 30,20.958,6.2874,5.2,15.83138538,32.84614629
,20.972,6.2916,5.2,15.84196078,32.82421962
,,,,,
cot 40,19.744,7.8976,5.2,16.12386126,32.25033953
,19.432,7.7728,5.2,15.86906766,32.76815066
,19.376,7.7504,5.2,15.82333548,32.8628563
,,,,,
op 10,25.298,2.5298,5.2,15.80379131,32.90349701
,25.935,2.5935,5.2,16.2017285,32.09534094
,25.935,2.5935,5.2,16.2017285,32.09534094
,,,,,
op 20 ,23.429,4.6858,5.2,15.88026211,32.74505147
,23.886,4.7772,5.2,16.19001838,32.11855526
,,,,,
op 30,22.041,6.6123,5.2,16.10981466,32.27845951
,22.008,6.6024,5.2,16.08569488,32.32685959
,,,,,
op 40,20.11,8.044,5.2,15.76625341,32.981837
,20.49,8.196,5.2,16.06417366,32.37016799
,20.421,8.1684,5.2,16.01007761,32.47954273
,20.584,8.2336,5.2,16.13786972,32.22234464
,,,,,
dmc 10,25.298,2.5298,5.2,16.04394944,32.41097225
,24.983,2.4983,5.2,15.84417696,32.81962839
,,,,,
dmc 20,22.616,4.5232,5.2,15.75860264,15.75860264
,,,,,
dmc 30,20.86,6.258,5.2,15.84070157,32.8268289
,20.848,6.2544,5.2,15.83158899,32.84572385
,20.958,6.2874,5.2,6.2874,32.67333004
,20.972,6.2916,5.2,15.92575231,32.65151873
,,,,,
dmc 40,19.744,7.8976,5.2,16.22904149,32.04132544
,19.432,7.7728,5.2,15.97258581,32.55578064
,19.376,7.7504,5.2,15.92655531,32.64987249
,,,,,
cm 10,25.298,2.5298,5.2,15.90073915,32.70288225
,,,,,
cm 20,23.429,4.6858,5.2,16.0598329,32.37891723
,,,,,
cm 30,21.522,6.4566,5.2,15.97790841,32.54493559
,,,,,
cm 40,20.11,8.044,5.2,16.07451826,32.34933649
,,,,,
dee 10,26.28,2.628,5.2,16.2397698,32.02015832
,25.935,2.5935,5.2,16.02657648,32.44610605
,25.935,2.5935,5.2,16.02657648,32.44610605
,,,,,
dee 20,24.288,4.8576,5.2,16.13443744,32.22919931
,23.886,4.7772,5.2,15.86739018,32.77161487
,,,,,
dee 30,22.4,6.72,5.2,15.91837333,32.66665438
,22.616,6.7848,5.2,16.07187193,32.35466299
,,,,,
dee 40,20.86,8.344,5.2,15.79074187,32.9306884
,20.848,8.3392,5.2,15.78165803,32.94964313
,20.958,8.3832,5.2,15.86492656,32.77670388
,20.972,8.3888,5.2,15.87552437,32.75482357
,,,,,
diesel 10,25.298,2.5298,5.2,15.96573645,32.56974719
,24.983,2.4983,5.2,15.76693785,32.98040525
,,,,,
diesel 20,23.429,4.6858,5.2,16.18022359,32.1379984
,,,,,
diesel 30,21.522,6.4566,5.2,16.14379568,32.21051668
,,,,,
diesel 40,19.744,7.8976,5.2,15.98487403,32.53075371